# Strain Tracker Export
# generated: 2026-05-21T13:10:11.861Z
# fps: 120
# video_size_px: 1280x720
# calibration: 9.629723 px per mm
# calibration_points_px: (311.780,304.734) - (985.835,298.862)
# calibration_real_distance: 70 mm
# template_size_px: 40
# search_radius_px: 25
#
frame,time_s,x_px,y_px,x_mm,y_mm,dx_mm,dy_mm,match_score
251,2.091667,385.4750,354.5804,40.029706,36.821452,3.060834,0.267961,0.9331
252,2.100000,385.6154,356.0992,40.044286,36.979171,3.075414,0.425680,0.9374
253,2.108333,385.6154,356.0992,40.044286,36.979171,3.075414,0.425680,0.9374
254,2.116667,385.6154,356.0992,40.044286,36.979171,3.075414,0.425680,0.9374
255,2.125000,385.6154,356.0992,40.044286,36.979171,3.075414,0.425680,0.9374
256,2.133333,385.5921,356.3679,40.041868,37.007076,3.072996,0.453585,0.9365
257,2.141667,385.5921,356.3679,40.041868,37.007076,3.072996,0.453585,0.9365
258,2.150000,385.5921,356.3679,40.041868,37.007076,3.072996,0.453585,0.9365
259,2.158333,385.5921,356.3679,40.041868,37.007076,3.072996,0.453585,0.9365
260,2.166667,385.5872,356.5508,40.041354,37.026065,3.072482,0.472574,0.9362
261,2.175000,385.5872,356.5508,40.041354,37.026065,3.072482,0.472574,0.9362
262,2.183333,385.5872,356.5508,40.041354,37.026065,3.072482,0.472574,0.9362
263,2.191667,385.5872,356.5508,40.041354,37.026065,3.072482,0.472574,0.9362
264,2.200000,385.3915,356.6670,40.021034,37.038132,3.052162,0.484641,0.9389
265,2.208333,385.3915,356.6670,40.021034,37.038132,3.052162,0.484641,0.9389
266,2.216667,385.3915,356.6670,40.021034,37.038132,3.052162,0.484641,0.9389
267,2.225000,385.3915,356.6670,40.021034,37.038132,3.052162,0.484641,0.9389
268,2.233333,385.2736,356.7195,40.008792,37.043588,3.039920,0.490097,0.9405
269,2.241667,385.2736,356.7195,40.008792,37.043588,3.039920,0.490097,0.9405
270,2.250000,385.2736,356.7195,40.008792,37.043588,3.039920,0.490097,0.9405
271,2.258333,385.2736,356.7195,40.008792,37.043588,3.039920,0.490097,0.9405
272,2.266667,385.1806,356.8243,39.999133,37.054475,3.030261,0.500983,0.9421
273,2.275000,385.1806,356.8243,39.999133,37.054475,3.030261,0.500983,0.9421
274,2.283333,385.1806,356.8243,39.999133,37.054475,3.030261,0.500983,0.9421
275,2.291667,385.1806,356.8243,39.999133,37.054475,3.030261,0.500983,0.9421
276,2.300000,385.2277,356.7399,40.004028,37.045707,3.035156,0.492216,0.9420
277,2.308333,385.2277,356.7399,40.004028,37.045707,3.035156,0.492216,0.9420
278,2.316667,385.2277,356.7399,40.004028,37.045707,3.035156,0.492216,0.9420
279,2.325000,385.2277,356.7399,40.004028,37.045707,3.035156,0.492216,0.9420
280,2.333333,385.2021,356.6936,40.001365,37.040897,3.032493,0.487405,0.9429
281,2.341667,385.2021,356.6936,40.001365,37.040897,3.032493,0.487405,0.9429
282,2.350000,385.2021,356.6936,40.001365,37.040897,3.032493,0.487405,0.9429
283,2.358333,385.2021,356.6936,40.001365,37.040897,3.032493,0.487405,0.9429
284,2.366667,385.1233,356.4445,39.993188,37.015030,3.024316,0.461539,0.9422
285,2.375000,385.1233,356.4445,39.993188,37.015030,3.024316,0.461539,0.9422
